,nombre_artista,bio,listeners,playcount,similar
358,Nocturnalia," <a href=""https://www.last.fm/music/Nocturnalia"">Read more on Last.fm</a>",1384,13174,"['Lykantropi', 'Troubled Horse', 'Mamont', 'Jirm', 'Märvel']"
359,Ste van Holm," <a href=""https://www.last.fm/music/Ste+van+Holm"">Read more on Last.fm</a>",85,615,"['Julian Lennon, Dennis DeYoung', 'Derek Sherinian, Joe Bonamassa, Steve Lukather', 'Ovrfwrd', 'Cyano', 'Stig Kreutzfeldt']"
360,Lonesome Shack,"Lonesome Shack began as Ben Todd's one man band in 2004, went duo in 2008 and found it's currrent form as a 3 piece in 2011. Now based in Seattle, the band consists of Ben singing and playing guitar, Kristian Garrard on drums and Luke Bergman on bass.

Official Website: Lonesome Shack <a href=""https://www.last.fm/music/Lonesome+Shack"">Read more on Last.fm</a>",19157,92749,"[""Charlie Patton's War"", 'The Muggs', 'Handsome Jack', 'Moreland & Arbuckle', 'Daddy Long Legs']"
361,Somaa," <a href=""https://www.last.fm/music/somaa"">Read more on Last.fm</a>",638,5477,"['Deb and The Mentals', 'Violet Soda', 'Swave', 'Monte Resina', 'Jeff Ament']"
362,The Motern Manly Band," <a href=""https://www.last.fm/music/The+Motern+Manly+Band"">Read more on Last.fm</a>",367,9365,"['Matt Motern Manly Man', 'The Big Heist', 'Moes Haven', 'Caniko Tucci', 'Projection from the Side']"
363,Michael Schwarz,"DJ and Producer from Kiel, known for his consistent Techno sound and founder of the label Hard Drive Records.
Consistent and beyond any rules - drifting and unceasing. A machinery of interlocking elements underpinned with energy and space. His sound is bursting with power and drive. Michael Schwarz has been going his own way since the beginning of the 2000s and has been working on his unique sound. Originating from the old GDR, the rough and mostly reluctant tone is reflected in his music. <a href=""https://www.last.fm/music/Michael+Schwarz"">Read more on Last.fm</a>",1381,4425,"['Mas Teeveh', 'Logotech', 'DJ Hi-Shock', 'Cortechs', 'A-Brothers']"
364,SUBSET,"There are at least five artists with the name Subset. 

1) Subset are a London based Romantic Post-Punk Indie Rock band featuring Rom Daste on vocals and guitar, Jay Garrett on bass and vocals, Rob Robertson on guitar and vocals and Steve Higgs on drums.  Their debut EP was released in August 2009 and the Double A Side single - But We Barely Know Each Other and When The Dressing Gown Falls Down was released in January 2010.

2) Subset, the Austin, Texas rock band, was formed in February 1999 by Lindsey Simon and Nathan Fish. <a href=""https://www.last.fm/music/Subset"">Read more on Last.fm</a>",8156,61189,"['Nae:tek', 'R.Hz', 'Schulz Audio', 'Tim Kossmann', 'Altone']"
365,Bendik Baksaas," «We partied, we improvised, we tore the place up. When I say we, I mean the incredible indie-hiphop/eclectic-jazz live band Bendik Baksaas, the illest beat DJ bringing the funk all night long – DJ Baz, and myself that had to give a lil bit of rugged beats for the late nighters. We did it, we did it hard, and we'll do it again in the near future.»

- Krts Hairston, Brooklyn, NY - Etter å ha spilt improvisert klubbmusikk sammen med Bendik Baksaas Band på Blå. <a href=""https://www.last.fm/music/Bendik+Baksaas"">Read more on Last.fm</a>",1221,13347,"['Bendik Baksaas Band', 'Tuba Tuba', 'Billie Van', 'Bendik', 'Broen']"
366,Sebastian Groth," <a href=""https://www.last.fm/music/Sebastian+Groth"">Read more on Last.fm</a>",9250,37730,"['Lukas Freudenberger', 'Niereich', 'Markus Weigelt', 'Ben Dust', 'F-Rontal']"
367,Glitter,"There are multiple artists using this name: 1. A techno producer from Rio de Janeiro, Brazil2. A punk band from Calgary, Alberta, Canada3. Incorrect tag for a French-Moroccan DJ based out of Paris, Île-de-France, France

1. Carlos Henrique, a minimal/techno/tech house producer from Rio is the name behind project GLITTER.

2. Dirgy, noisy, no pose punk from Calgary Alberta. Members of the GOTW gang. Songs about bathing in the moonlight.

3. GLITTERڭليثر٥٥ is the correct tag for the French-Moroccan DJ from Paris. <a href=""https://www.last.fm/music/Glitter"">Read more on Last.fm</a>",9680,51866,"['Federico Milani', 'A.K.O.', 'Dandi & Ugo', 'Phunk Investigation', ""Alex D'Elia & Nihil Young""]"
368,Yulia Niko,"House DJ, born in Sochi, Russia; later moved to New York City, and then to Berlin. Breakout track ""Zurich"" in 2017. <a href=""https://www.last.fm/music/Yulia+Niko"">Read more on Last.fm</a>",24490,88521,"['Mind Against', 'Kevin De Vries', 'BLOND:ISH', 'Tensnake', 'Sebastian Davidson']"
369,Max Delta," <a href=""https://www.last.fm/music/Max+Delta"">Read more on Last.fm</a>",301,1007,"['Anna Reusch', 'Sabura', 'Brennen Grey', 'Sama', 'Sdb']"
370,Vytis," <a href=""https://www.last.fm/music/Vytis"">Read more on Last.fm</a>",2436,31182,"['Subforms', 'Atabey', 'Minimal Boffin', 'Vejopatis', 'Textural Being']"
371,Mari Iijima,"Mari Iijima (飯島真理) is a multitasking musician who writes, arranges, produces, engineers, and performs.
She lives in Los Angeles, CA.
Her latest release is the EP ""2 Seconds of Infinity"".
She just finished a successful mini Japan tour, and now performing in her home town, LA.
 <a href=""https://www.last.fm/music/Mari+Iijima"">Read more on Last.fm</a>",23189,308738,"['Epo', '羽田健太郎', '和田加奈子', 'Fire Bomber', 'Yukiko Okada']"
372,Neoplastika," <a href=""https://www.last.fm/music/Neoplastika"">Read more on Last.fm</a>",99,304,[]
373,Inner City,"Inner City was formed in Detroit, Michigan in 1988 by producer Kevin Saunderson.  He enlisted the talent of Chicago native Paris Grey to perform vocals for the tracks on what would become some of the most memorable club anthems all time, beginning with 1988's smash hit ""Big Fun.""  

Inner City's debut album, also entitled ""Big Fun"" (Virgin Records, US) / ""Paradise"" (elsewhere) was released in 1989.  The second single from the debut LP was the smash hit ""Good Life <a href=""https://www.last.fm/music/Inner+City"">Read more on Last.fm</a>",296215,1826059,"['Black Box', ""Livin' Joy"", 'Alison Limerick', ""S'Express"", 'Robin S']"
374,Steam Shape," <a href=""https://www.last.fm/music/Steam+Shape"">Read more on Last.fm</a>",2239,8222,"['Brennen Grey', 'Gene Karz', 'Loco & Jam', 'Stiv Hey', 'Pablo Say']"
375,DP-6,"DP-6 project's participants are Alexey Filin and Vadim Indigo.
Since 2000 the project is famous for its successful musical works in different spheres.

DP-6 is Live & DJ performances in private night clubs and on big floors, great number of digital, vinyl & cd releases all over the world.

DP-6 has come out well in making successful remixes. Their tracks got support from the World Djs, they were in many charts & sounded in different sets, radios and compilations. <a href=""https://www.last.fm/music/Dp-6"">Read more on Last.fm</a>",7291,36943,"['East Cafe', 'Platunoff', 'Monojoke', 'Blusoul', 'Michael & Levan']"
376,Tom Hades,"Real Name:
Wim Vanoeveren
Profile:
Already at very young age Tom Hades was very interested in electronic music, especially the music influenced by DAF, Kraftwerk, and so on. During the period 1991 until 1999, he couldn’t control his urge to produce music any longer. Therefore, he bought his first keyboard and he turned his game-computer into his first audio-workstation. Because his everlasting stubbornness and his enormous interest in computers, he wanted to learn every technical detail by himself. <a href=""https://www.last.fm/music/Tom+Hades"">Read more on Last.fm</a>",10380,44811,"['Marco Bailey & Tom Hades', 'Sasha Carassi', 'Tomy DeClerque', 'Axel Karakasis', 'Alex Bau']"
377,Do Shock Booze," <a href=""https://www.last.fm/music/Do+Shock+Booze"">Read more on Last.fm</a>",266,923,"['Mark Kunoff', 'Dovim', 'Dan Baber', 'Paul Bart', 'Gabs']"
378,Fat Cosmoe," <a href=""https://www.last.fm/music/Fat+Cosmoe"">Read more on Last.fm</a>",2542,11139,"['mark hoffen', 'Enai', 'Yubik', 'Enøs', 'Soma Soul']"
379,88756," <a href=""https://www.last.fm/music/88756"">Read more on Last.fm</a>",1657,6302,"['Stockholm Acid Force', 'Vincenzo Pizzi', 'Dj Scale Ripper', 'KUSP (UK)', 'Decoq']"
380,Steve Kid," <a href=""https://www.last.fm/music/Steve+Kid"">Read more on Last.fm</a>",1322,4109,"['Stefano Noferini', 'Kid Shakers', 'Blacktron', 'Luca Bear', 'Dany Cohiba']"
381,Dimi Mechero," <a href=""https://www.last.fm/music/Dimi+Mechero"">Read more on Last.fm</a>",977,4337,"['Jono Stephenson', 'Mila Journée', 'Carl Bee', 'Rem Siman', 'Jou Nielsen']"
382,Notoir," <a href=""https://www.last.fm/music/Notoir"">Read more on Last.fm</a>",179,644,"['2088', 'Naji Arun', 'Tostone', 'Bami', 'ReCorpo']"
383,Juan Sapia," <a href=""https://www.last.fm/music/Juan+Sapia"">Read more on Last.fm</a>",1692,6909,"['Antrim', 'Analog Jungs', 'Juan Pablo Torrez', 'Paul Angelo', 'Golan Zocher']"
384,SixthSense," <a href=""https://www.last.fm/music/SixthSense"">Read more on Last.fm</a>",3629,30982,"['Lesh', 'Lumidelic', 'Yusuke Teranishi', 'Eric Olivier Mario', 'inon bramy']"
385,Steve Allen,"There are several artists with this name: one from the USA, another two from the UK and one from New Zealand.

1. Stephen Valentine Patrick William ""Steve"" Allen (26 December 1921 – 30 October 2000) was an American television personality, musician, actor, comedian, and writer.

Though he got his start in radio, Allen is best-known for his television career. He first gained national attention as a guest host on Arthur Godfrey's Talent Scouts. He graduated to become the first host of The Tonight Show <a href=""https://www.last.fm/music/Steve+Allen"">Read more on Last.fm</a>",23549,152356,"['Dan Thompson', 'Talla 2XLC', 'XiJaro & Pitch', 'Abstract Vision', 'Ahmed Romel']"
386,Sebastian Haas," <a href=""https://www.last.fm/music/Sebastian+Haas"">Read more on Last.fm</a>",607,2088,"['Alan Cerra', 'Michael A', 'Ewan Rill', 'Analog Jungs', 'Seleck']"
387,Alberto Blanco," <a href=""https://www.last.fm/music/Alberto+Blanco"">Read more on Last.fm</a>",517,1649,"['Julian Nates', 'Dynacom (ARG)', 'TMS Underscores', 'Waves Hello', 'Kale Kamine']"
388,Myk Bee,"Myk Bee (Miroslav Beška) was born in Croatia, has been fascinated and addicted to electronic music since his earliest childhood. 

He soon began composing and creating his own melodies with his first Roland synthesizer and some ordinary music software.

After short time his work gave him first result and have being released first trance single 2008 „Mistaken“ which is supported by: 
Armin Van Burren, Tiesto, PVD,Roger Shah, Pedro Del Mar, Sean Tyas, M.I.K.E., Suzy Solar, Solarstone e.t.c. <a href=""https://www.last.fm/music/Myk+Bee"">Read more on Last.fm</a>",4987,25384,"['Manuel Rocca', 'Estigma', 'Blue Tente', 'TrancEye', 'Sandeagle']"
389,Ryan Raya," <a href=""https://www.last.fm/music/Ryan+Raya"">Read more on Last.fm</a>",91,623,[]
390,Nicola Maddaloni," <a href=""https://www.last.fm/music/Nicola+Maddaloni"">Read more on Last.fm</a>",826,4705,"['Alternate High', 'David Surok', 'Alex Shevchenko', 'Victor Special', 'Ka-Da']"
391,Greenage," <a href=""https://www.last.fm/music/Greenage"">Read more on Last.fm</a>",1181,4458,"['Michael A', 'Erdi Irmak', 'Dmitry Molosh', 'Simos Tagias', 'Amonita']"
392,Ori Uplift Radio," <a href=""https://www.last.fm/music/Ori+Uplift+Radio"">Read more on Last.fm</a>",261,2454,"['Alternate High', 'Dreamlife', 'Illitheas', 'maratone', 'Nikolauss']"
393,Coldharbour presents The Harbour," <a href=""https://www.last.fm/music/Coldharbour+presents+The+Harbour"">Read more on Last.fm</a>",3,5,[]
394,Bobina,"Introduction: For the last 8 years, Bobina (aka Moscow-based DJ, producer & record label impresario Dmitry Almazov) has been at the forefront of Russia’s electronic dance breakout. His DJ adventures have taken him around the planet numerous times, playing tent-pole events including Global Gatherings, Gatecrasher Summer Soundsystem, Trance Energy, and the Winter Music Conference. Spinning close to 100 block-rock sets every year, it has seen DJ Mag <a href=""https://www.last.fm/music/Bobina"">Read more on Last.fm</a>",121943,1301250,"['Alexander Popov', 'Roman Messer', 'Michael Milov', 'Denis Kenzo', 'Aurosonic']"
395,Armin van Buuren,"Armin Jozef Jacobus Daniël van Buuren (born 25 December 1976) is a Dutch DJ and record producer. Since 2001, he has hosted ""A State of Trance"" (ASOT), a weekly radio show broadcast to nearly 40 million listeners in 84 countries via more than 100 FM radio stations.

Van Buuren has received multiple accolades throughout his career. He has been ranked the number one DJ by DJ Mag five times, including four consecutive years. He was placed fifth in the DJ Mag Top 100 DJs list in 2022, fourth in 2015, 2016, 2019 and 2020, and third in 2017. <a href=""https://www.last.fm/music/Armin+van+Buuren"">Read more on Last.fm</a>",1648678,57495443,"['Andrew Rayel', 'Ferry Corsten', 'Giuseppe Ottaviani', 'Ben Gold', 'Cosmic Gate']"
396,Neutron," <a href=""https://www.last.fm/music/Neutron"">Read more on Last.fm</a>",2295,11889,"['Denis Dekay', 'KUKO', 'Lorenzo Raganzini', 'Aqua Contact', 'Beico & Mt93']"
397,Venetica," <a href=""https://www.last.fm/music/Venetica"">Read more on Last.fm</a>",3195,14002,"['Oliver Cattley', 'Simon Lee & Alvin', 'Eric Senn', 'Ultra Shock', 'FUTURECODE']"
398,Nibedita," <a href=""https://www.last.fm/music/Nibedita"">Read more on Last.fm</a>",55,369,"['Ira Mohanty', 'Kumar Bapi', 'Shakti Mishra', 'Bibhu Kishore', 'Babul Supiyo']"
399,Ivo Robic,"Incorrect tag for Ivo Robić. <a href=""https://www.last.fm/music/Ivo+Robic"">Read more on Last.fm</a>",14851,111529,"['Gerhard Wendland', 'Margot Eskens', 'Vico Torriani', 'Fred Bertelmann', 'Gus Backus']"
400,The Brothers Steve," <a href=""https://www.last.fm/music/THE+BROTHERS+STEVE"">Read more on Last.fm</a>",247,2056,[]
401,Surendra Perera," <a href=""https://www.last.fm/music/Surendra+Perera"">Read more on Last.fm</a>",378,3253,"['Sangeeth Wijesuriya', 'Athma Liyanage', 'Hector Dias', 'Manjula Pushpakumara', 'Ruwan Hettiarachchi']"
402,Мальвина Аюбова," <a href=""https://www.last.fm/music/%D0%9C%D0%B0%D0%BB%D1%8C%D0%B2%D0%B8%D0%BD%D0%B0+%D0%90%D1%8E%D0%B1%D0%BE%D0%B2%D0%B0"">Read more on Last.fm</a>",12,37,"['Makka Mezhieva', 'Linda Idrisova', 'Шовда Дамаева', 'Болатби Харон', 'Alina Musieva']"
403,Ahmad Solo," <a href=""https://www.last.fm/music/Ahmad+Solo"">Read more on Last.fm</a>",314,3874,"['Sina Parsian', 'NOVAN', 'Mohammad Lotfi', 'Yousef Zamani', 'Emo band']"
404,Tipu Sultan," <a href=""https://www.last.fm/music/Tipu+Sultan"">Read more on Last.fm</a>",5,6,[]
405,Samar Singh," <a href=""https://www.last.fm/music/Samar+Singh"">Read more on Last.fm</a>",1003,5282,"['Shilpi Raj', 'Ankush Raja', 'Neelkamal Singh', 'Khesari Lal Yadav', 'Rakesh Mishra']"
406,RAKOVICKY,"Rakovicky is a three-man band fronted by charismatic singer and songwriterand producer Marek Rakovicky from Bratislava, Slovakia.  
Their dreamy music has been noted for its cinematic atmosphere and often blends elements of Pop, Synth Pop, Rnb and Alternative. Honesty combined with simple but timeless lyrics creates a unique piece of music. <a href=""https://www.last.fm/music/Rakovicky"">Read more on Last.fm</a>",759,6460,"['Tolstoys', 'Papyllon', 'Fallgrapp', 'Nvmeri', 'Billy Barman']"
407,Andrew Gold,"
Andrew Maurice Gold (August 2, 1951 – June 3, 2011) was an American singer, songwriter, musician and arranger. His works include the Top 10 single ""Lonely Boy"" (1977), as well as ""Thank You for Being a Friend"" (1978) and ""Never Let Her Slip Away"" (1978).

Gold was a multi-instrumentalist who played guitar, bass, keyboards, accordion, synthesizer, harmonica, saxophone, flute, drums and percussion, as well as more arcane musical devices such as ukulele, musette, and harmonium. <a href=""https://www.last.fm/music/Andrew+Gold"">Read more on Last.fm</a>",397917,2097458,"['Stephen Bishop', 'Nicolette Larson', 'Firefall', 'Gary Wright', 'Seals & Crofts']"
408,Joel Hallikainen," <a href=""https://www.last.fm/music/Joel+Hallikainen"">Read more on Last.fm</a>",11156,106291,"['Janne Tulkki', 'Arja Koriseva', 'Marita Taavitsainen', 'Markku Aro', 'Erkki Junkkarinen']"
409,Thanh Ngoc,"Tên thật: Lê Thanh Ngọc

Ngày sinh: 13/08 - Quốc gia: Việt Nam

Công ty đại diện: Ca sĩ Tự Do

Giải nhì Tiếng hát Truyền hình TP.HCM 2005. Thanh Ngọc tham gia sinh hoạt ca hát từ nhỏ ở đội ca Nhà Thiếu nhi TP.HCM, cùng lứa các ca sĩ Anh Thúy, Thu Thủy, các nhóm Mắt Ngọc, Mây Trắng, TyMyTy...

Năm 1998, Thanh Ngọc tham gia nhóm ca Mắt Ngọc, chính thức bước vào con đường biểu diễn chuyên nghiệp. <a href=""https://www.last.fm/music/Thanh+Ngoc"">Read more on Last.fm</a>",608,4787,"['Trang Pháp', 'Phạm Quỳnh Anh', 'Khoi My', 'Hiền Thục', 'Khổng Tú Quỳnh']"
410,Worm is Green,"Worm Is Green started as the bedroom electronica project of Arni Asgeirsson, who soon enlisted longtime friends from his hometown of Akranes, Iceland (population 5,500) to flesh out his melodic soundscapes. Solidifying into a group, Worm Is Green began recording the songs that would become Automagic, released overseas in 2004 on Iceland's Thule Musik (home of Múm and The Funerals) and now available in the U.S. on Arena Rock.

Critically praised throughout Europe <a href=""https://www.last.fm/music/Worm+Is+Green"">Read more on Last.fm</a>",124039,1447883,"['Pornopop', 'Ampop', 'Kira Kira', 'Stafrænn Hákon', 'Borko']"
411,Lalremruata," <a href=""https://www.last.fm/music/Lalremruata"">Read more on Last.fm</a>",54,267,"['Hlimhlimi', 'Fiona Pachuau', 'Bethsy Lalrinsangi', 'Zorema Khiangte', 'SaiWanah']"
412,Walter Wanderley,"A Brazilian organist/composer who stumbled upon a gold mine in the 1960s, Walter Wanderley has been resurrected posthumously in the 1990s, a purveyor of lounge music for a young generation. Yet his sound on the organ, generated by a crisp, lightweight, staccato attack, can be mistaken for no one else's - and his choice of material showed much good taste, particularly when exploring his countrymen' s songs. Although his most popular records contained only a minimum of melodic jazz improvisation, he could stretch out when he wanted to. <a href=""https://www.last.fm/music/Walter+Wanderley"">Read more on Last.fm</a>",291965,2475675,"['Tamba Trio', 'Roberto Menescal E Seu Conjunto', 'Astrud Gilberto', 'Sylvia Telles', 'Luiz Bonfá']"
413,Onk Lou," <a href=""https://www.last.fm/music/Onk+Lou"">Read more on Last.fm</a>",2784,24471,"[""5/8erl in Ehr'n"", 'Farewell Dear Ghost', 'The Crispies', 'Ernst Molden', 'We Walk Walls']"
414,Olivia Lewis,"Olivia Lewis, born 18 October 1978, is a singer from Qormi, Malta. She has competed 11 consecutive times in the Malta Song For Europe festival, which selects the country's entry for the Eurovision Song Contest.

At an early age, she started showing interest towards singing and performing and eventually started attending singing lessons. This was followed by a string of successful participations in local song festivals. Her winning streak was formidable <a href=""https://www.last.fm/music/Olivia+Lewis"">Read more on Last.fm</a>",9823,44317,"['Guri Schanke', 'Stevan Faddy', 'Frederik Ndoci', 'Gerli Padar', ""The KMG's""]"
415,Bahja Rodriguez,"Contemporary R&B vocalist Bahja Rodriguez joined the OMG Girlz at the age of 12. Though the pop-R&B group, co-developed by Xscape's Tameka Cottle, released several singles and went on some high-profiles tours, they split in March 2015, before they were able to issue an album. Rodriguez quickly landed on her feet as an independent solo artist and had a handful of singles -- including ""Jealous Type"",""Lipstick"", and ""Next One"" -- out by the end of 2015. <a href=""https://www.last.fm/music/Bahja+Rodriguez"">Read more on Last.fm</a>",2340,37416,"['Zonnique', 'The OMG Girlz', ""June's Diary"", 'Tammy Rivera', 'Demetria McKinney']"
416,Tex Ritter,"Tex Ritter (Woodward Maurice Ritter, January 12, 1905 – January 2, 1974) was an American country music singer and movie actor popular from the mid-1930s into the 1960s, and the patriarch of the Ritter family in acting (son John and grandson Jason). He is a member of the Country Music Hall of Fame.

Tex Ritter, the son of James Everett Ritter and Martha Elizabeth Matthews grew up on his family's farm in Panola County and attended grade school in Carthage. <a href=""https://www.last.fm/music/Tex+Ritter"">Read more on Last.fm</a>",53025,281265,"['Johnny Duncan', 'Red Foley', 'Eddy Arnold', 'Slim Whitman', 'Leroy Van Dyke']"
417,Normunds Rutulis,"Normunds Rutulis (born 04.11.1971) is Latvian singer, producer, song writer, also works in radio and TV. Know as pop and schlager singer. 


Discography: 
    * Vēlreiz mājās (2008, Platforma Records)
    * Magones zieds (2007, Platforma Records)
    * Zili brīnumi (2005, MicRec)
    * Vīna dvēsele (2004, MicRec)
    * Lecam pa vecam (2003, MicRec)
    * Nekur nav tik labi kā mājās (2001, MicRec)
    * Baltā laika dziesmas (2001, GailītisG) <a href=""https://www.last.fm/music/Normunds+Rutulis"">Read more on Last.fm</a>",1697,12836,"['Liene Šomase', 'Olga Rajecka', 'Ivo Fomins', 'Labvēlīgais Tips', 'Raimonds Pauls']"
418,Johnny Rivers,"Johnny Rivers (born John Henry Ramistella on November 7, 1942 in New York City) is an American rock and roll singer, songwriter, guitarist, and record producer. He is believed to be of Italian origin.
He was versatile enough to do folk songs, blues, covers of old-time Rock n' roll songs, and some original material, all of them in his own unique style. Rivers's greatest success came in the mid and late 1960s with a string of hit songs (including ""Seventh Son <a href=""https://www.last.fm/music/Johnny+Rivers"">Read more on Last.fm</a>",173376,1317800,"['The Buckinghams', 'Gary Puckett & The Union Gap', ""Herman's Hermits"", 'The Young Rascals', 'Paul Revere & The Raiders']"
419,Jakie Quartz,"Jakie Quartz (born Jacqueline Cuchet, July 31, 1955) is a French singer. 
Her biggest hit singles in France were ""Mise au point"" (1983, covered by Leslie in 2007 and Quentin Mosimann in 2008), ""Vivre ailleurs"" (1986, #11 in France, produced by Secret Service) and ""À la vie à l'amour"" (1987, #30 in France and #55 in the UK Singles Chart)

Discography
Albums:
Revue et corrigée (musical) - 1982
Mise au point - 1982
Alerte à la blonde - 1984
Jour et nuit - 1986 <a href=""https://www.last.fm/music/Jakie+Quartz"">Read more on Last.fm</a>",10449,62793,"['Bibi Flash', 'Bandolero', 'Jeanne Mas', 'Corynne Charby', 'François Valéry']"
420,Begzod Ismoilov," <a href=""https://www.last.fm/music/Begzod+Ismoilov"">Read more on Last.fm</a>",19,226,"['Rayhon', 'Botir Qodirov', 'ALISHER FAYZ']"
421,Neelkamal Singh," <a href=""https://www.last.fm/music/Neelkamal+Singh"">Read more on Last.fm</a>",3752,28904,"['Khesari Lal Yadav', 'Shilpi Raj', 'Samar Singh', 'Shivani Singh', 'Arvind Akela Kallu Ji']"
422,Claudio Villa,"Claudio Villa: byname of Claudio Pica (1 January 1926 - Padova, February 7, 1987), born and living in the  proletarian (now  touristic) Trastevere quarter of Rome, in via della Lungara  and via Angelo Tittoni, then with success moving to a via Folco Portinari flat, in the Monteverde nuovo middle class quarter.
He was an actor and  Italian Tenor,  who specialised in romantic-melodic “musica leggera”, reaching a sort of The Voice status in Italy as “il reuccio (della canzone)” - the  small king <a href=""https://www.last.fm/music/Claudio+Villa"">Read more on Last.fm</a>",35207,205114,"['Renato Carosone', 'Domenico Modugno', 'Roberto Murolo', 'Aurelio Fierro', 'Fred Buscaglione']"
423,Khesari Lal Yadav," <a href=""https://www.last.fm/music/Khesari+Lal+Yadav"">Read more on Last.fm</a>",4862,35186,"['Neelkamal Singh', 'Shilpi Raj', 'Shivani Singh', 'Samar Singh', 'Arvind Akela Kallu Ji']"
424,The Hazzah,"Explosive fuzz sounds, a groovy transistor organ and thick waves of ‘verb will keep you floating as the boys of The Hazzah bring you their garage rock, ranging from in-your-face rock tracks to sultry surf-jams. The Hazzah’s music is a reflection of the warm comfort and existential freedom experienced through a smoke break during a long road trip. Refining their post-psychedelic roots for their upcoming debut album, The Hazzah’s songs have become louder, deeper and shorter. <a href=""https://www.last.fm/music/The+Hazzah"">Read more on Last.fm</a>",669,5234,[]
425,Facção Caipira," <a href=""https://www.last.fm/music/+noredirect/Fac%C3%A7%C3%A3o+Caipira"">Read more on Last.fm</a>",5513,53220,"['André Christovam', 'Celso Blues Boy', 'Cracker Blues', 'Bêbados Habilidosos', 'Blues Etílicos']"
426,Dennehy,"Brazilian based emo/pop/metalcore band. Dennehy is: Luna Vaz, Gus de Bem, Cookie e Felipe Santos. <a href=""https://www.last.fm/music/Dennehy"">Read more on Last.fm</a>",1597,18404,"['Submerso', 'Curveless', 'Metade de Mim', 'Sea Smile', 'Bemvirá']"
427,Le capre a sonagli," <a href=""https://www.last.fm/music/Le+capre+a+sonagli"">Read more on Last.fm</a>",529,8718,"['Management Del Dolore Post-Operatorio', 'Luminal', 'Giorgieness', 'Nobraino', 'Le Luci Della Centrale Elettrica']"
428,秋天的虫子,"Fall Insects was formed in August 1998 with their name meaning ""Autumn Bugs"".

Around 2000, Fall Insects was one of the most important Beijing bands in the goth/industrial genre.

Fall Insects had been interviewed by the Painkiller Heavy Music Magazine, published Painkiller #2.

They also appeared in an Hongkong film production called ""Beijing Music and Ways"" [北京乐与路] where vocalist play a role as main male role's replacement lover and singer of a goth/industrial rock band. <a href=""https://www.last.fm/music/%E7%A7%8B%E5%A4%A9%E7%9A%84%E8%99%AB%E5%AD%90"">Read more on Last.fm</a>",366,5683,"['木马', '冷血动物', '张楚', '何勇', '子曰']"
429,Sí Señor,"Banda de Rock & Pop Latino. Hicieron su primera aparición en la escena Músical de Puerto Rico desde 2004. Contaros con dos producciones discográficas, la primera de nombre homónimo, Si Señor (Skylab 2004) y la segunda, La Nueva Estrella del Rock (Venemusic 2006). Entre sus temas se encuentran las canciones Verano del '96 y Me Gustas Tu, que han sido de las favoritas. Un Día Más (Daydream Records 2008) es el título de la tercera producción discográfica de Sí Señor <a href=""https://www.last.fm/music/S%C3%AD+Se%C3%B1or"">Read more on Last.fm</a>",289,1925,"['Black Guayaba', 'Fiel a La Vega', 'Vivanativa', 'LA BANDA ALGARETE', 'La Secta Allstar']"
430,The Co-Op," <a href=""https://www.last.fm/music/The+Co-op"">Read more on Last.fm</a>",790,2782,"['Fire Eye', 'Woodland PaperKites', 'Goldspotband', 'Cody Jasper', 'I Am the Sky']"
431,Another Cheetah," <a href=""https://www.last.fm/music/Another+Cheetah"">Read more on Last.fm</a>",94,430,"['Blue of Colors', 'The Composure', 'Maybe Aliens', 'Vipers', 'Eternal Boy']"
432,Rieg,"Rieg é um trio de trip-hop com influências fortes do rock experimental e com interações com audiovisual. Formado em 2010 pelo norte-americano Rieg (vocal- sampler - synth) e os paraibanos Jesi (baixo) e Nildo Gonzalez (bateria), a banda já se apresentou em diversos estados do nordeste do Brasil, além de passar pelos festivais Mundo (PB), Grito Rock (PE), Dia da Música (SP), UIVO (SP/PE), Fete De La Musique e Transpira (PI), tocando conteúdo dos seus EPs The Histrionic (2011) <a href=""https://www.last.fm/music/Rieg"">Read more on Last.fm</a>",3195,11443,"['Planar', 'Aldo, The Band', 'Chico Correa & Electronic Band', 'LaBaq', 'Oyster Kids']"
433,Ike & Tina Turner," <a href=""https://www.last.fm/music/Ike+"">Read more on Last.fm</a>",0,0,[]
434,The Reverberations," <a href=""https://www.last.fm/music/The+Reverberations"">Read more on Last.fm</a>",743,7201,"['The Creation Factory', 'The Schizophonics', 'The Resonars', 'The Laissez Fairs', 'The Darts (U.S.)']"
435,Igor Montenegro," <a href=""https://www.last.fm/music/Igor+Montenegro"">Read more on Last.fm</a>",601,3717,"['WEST REIS', 'Camila Marieta', 'Magi', 'Indigo Mood', 'Filanos']"
436,Beto Bruno," <a href=""https://www.last.fm/music/Beto+Bruno"">Read more on Last.fm</a>",1577,11167,"['GROSS', 'Rod Krieger', 'Bife Simples & O Carabala', 'Nei Van Soria', 'Defalla']"
437,Callejón 13," <a href=""https://www.last.fm/music/+noredirect/Callej%C3%B3n+13"">Read more on Last.fm</a>",188,878,"['Perro Callejero', 'destino perdido', 'California Blues', 'Sur 16', 'Fantasma de canterville']"
438,Young Gari," <a href=""https://www.last.fm/music/Young+Gari"">Read more on Last.fm</a>",8,10,[]
